title,body,labels
"[FEATURE] Implement BashExecutionAdapter","## Summary Implement adapter for BashExecution functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IBashExecutionPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement BurnTheBoatsAdapter","## Summary Implement adapter for BurnTheBoats functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IBurnTheBoatsPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement CLIOrchestrationAdapter","## Summary Implement adapter for CLIOrchestration functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ICLIOrchestrationPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement CLISkillAdapter","## Summary Implement adapter for CLISkill functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ICLISkillPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement CodeOverAPIAdapter","## Summary Implement adapter for CodeOverAPI functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ICodeOverAPIPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement CodeThenExecuteAdapter","## Summary Implement adapter for CodeThenExecute functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ICodeThenExecutePort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ContextAnxietyAdapter","## Summary Implement adapter for ContextAnxiety functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IContextAnxietyPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement CustomSandboxAdapter","## Summary Implement adapter for CustomSandbox functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ICustomSandboxPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement DevToolingResetAdapter","## Summary Implement adapter for DevToolingReset functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IDevToolingResetPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement FilesystemStateAdapter","## Summary Implement adapter for FilesystemState functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IFilesystemStatePort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement FrontierDevelopmentAdapter","## Summary Implement adapter for FrontierDevelopment functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IFrontierDevelopmentPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement InferenceHealedRewardAdapter","## Summary Implement adapter for InferenceHealedReward functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IInferenceHealedRewardPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement IsolatedVMAdapter","## Summary Implement adapter for IsolatedVM functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IIsolatedVMPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement LaneQueueingAdapter","## Summary Implement adapter for LaneQueueing functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ILaneQueueingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement MemRLAdapter","## Summary Implement adapter for MemRL functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IMemRLPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement MilestoneEscrowAdapter","## Summary Implement adapter for MilestoneEscrow functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IMilestoneEscrowPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement NonCustodialSpendingAdapter","## Summary Implement adapter for NonCustodialSpending functionality  ## Source `src/AgencyLayer/LowPriority/Ports/INonCustodialSpendingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement PerceptionArchitectureAdapter","## Summary Implement adapter for PerceptionArchitecture functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IPerceptionArchitecturePort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement PosteriorSamplingAdapter","## Summary Implement adapter for PosteriorSampling functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IPosteriorSamplingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement PromptCachingAdapter","## Summary Implement adapter for PromptCaching functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IPromptCachingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement RLAIFAdapter","## Summary Implement adapter for RLAIF functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IRLAIFPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement RLSampleSelectionAdapter","## Summary Implement adapter for RLSampleSelection functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IRLSampleSelectionPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement RewardShapingAdapter","## Summary Implement adapter for RewardShaping functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IRewardShapingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ScaffoldingAdapter","## Summary Implement adapter for Scaffolding functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IScaffoldingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ShellContextAdapter","## Summary Implement adapter for ShellContext functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IShellContextPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement SoulboundIdentityAdapter","## Summary Implement adapter for SoulboundIdentity functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ISoulboundIdentityPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement SubjectHygieneAdapter","## Summary Implement adapter for SubjectHygiene functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ISubjectHygienePort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ToolSelectionGuideAdapter","## Summary Implement adapter for ToolSelectionGuide functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IToolSelectionGuidePort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement TriggerVocabularyAdapter","## Summary Implement adapter for TriggerVocabulary functionality  ## Source `src/AgencyLayer/LowPriority/Ports/ITriggerVocabularyPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement VMOperatorAdapter","## Summary Implement adapter for VMOperator functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IVMOperatorPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement WorkspaceOrchestrationAdapter","## Summary Implement adapter for WorkspaceOrchestration functionality  ## Source `src/AgencyLayer/LowPriority/Ports/IWorkspaceOrchestrationPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P3 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ConversationPatternAdapter","## Summary patterns including two-agent, sequential, group chat, and hierarchical  ## Source `src/AgencyLayer/MultiAgentOrchestration/Ports/IConversationPatternPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ActionCachingAdapter","## Summary for debugging, testing, and performance optimization. Cached actions  ## Source `src/AgencyLayer/Orchestration/Ports/IActionCachingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement AgentCommunicationAdapter","## Summary Port for agent-to-agent communication.  ## Source `src/AgencyLayer/Orchestration/Ports/IAgentCommunicationPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement AgentStateAdapter","## Summary Port for agent state management.  ## Source `src/AgencyLayer/Orchestration/Ports/IAgentStatePort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement AutonomousLoopAdapter","## Summary on iterations, time, budget, and errors, with progress tracking  ## Source `src/AgencyLayer/Orchestration/Ports/IAutonomousLoopPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement BestOfNAdapter","## Summary Port for recursive best-of-N delegation.  ## Source `src/AgencyLayer/Orchestration/Ports/IBestOfNPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement BudgetRoutingAdapter","## Summary within the remaining budget and blocking requests that would exceed  ## Source `src/AgencyLayer/Orchestration/Ports/IBudgetRoutingPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement CanaryRolloutAdapter","## Summary by routing a small percentage of traffic to the new version and monitoring  ## Source `src/AgencyLayer/Orchestration/Ports/ICanaryRolloutPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement CoherenceSessionAdapter","## Summary context consolidation, checkpointing, and progress tracking  ## Source `src/AgencyLayer/Orchestration/Ports/ICoherenceSessionPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ComplexityEscalationAdapter","## Summary Port for progressive complexity escalation.  ## Source `src/AgencyLayer/Orchestration/Ports/IComplexityEscalationPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement DistributedExecutionAdapter","## Summary Port for distributed execution with cloud workers.  ## Source `src/AgencyLayer/Orchestration/Ports/IDistributedExecutionPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement DualAgentAdapter","## Summary complex setup tasks and a maintainer for ongoing operations,  ## Source `src/AgencyLayer/Orchestration/Ports/IDualAgentPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement DualLLMAdapter","## Summary for complex reasoning and planning, and a faster/cheaper model for  ## Source `src/AgencyLayer/Orchestration/Ports/IDualLLMPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement FeatureContractAdapter","## Summary Port for feature list as immutable contract.  ## Source `src/AgencyLayer/Orchestration/Ports/IFeatureContractPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement GraphOfThoughtsAdapter","## Summary that can have multiple connections (support, contradict, refine),  ## Source `src/AgencyLayer/Orchestration/Ports/IGraphOfThoughtsPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement HandoffAdapter","## Summary Port for seamless background-to-foreground handoff.  ## Source `src/AgencyLayer/Orchestration/Ports/IHandoffPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement HumanInTheLoopAdapter","## Summary Port for human-in-the-loop operations.  ## Source `src/AgencyLayer/Orchestration/Ports/IHumanInTheLoopPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement HybridWorkflowAdapter","## Summary Port for hybrid LLM/Code workflow coordination.  ## Source `src/AgencyLayer/Orchestration/Ports/IHybridWorkflowPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement MapReduceAdapter","## Summary Port for LLM Map-Reduce pattern.  ## Source `src/AgencyLayer/Orchestration/Ports/IMapReducePort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ModelFallbackAdapter","## Summary when the primary model is unavailable or degraded. It maintains health  ## Source `src/AgencyLayer/Orchestration/Ports/IModelFallbackPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement MultiModelEditAdapter","## Summary Port for multi-model orchestration for complex edits.  ## Source `src/AgencyLayer/Orchestration/Ports/IMultiModelEditPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement PlannerWorkerAdapter","## Summary planner agent and multiple worker agents for parallel execution,  ## Source `src/AgencyLayer/Orchestration/Ports/IPlannerWorkerPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement ReliabilityMapAdapter","## Summary and mitigating reliability problems in agentic systems, based on  ## Source `src/AgencyLayer/Orchestration/Ports/IReliabilityMapPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement SandboxFanOutAdapter","## Summary Port for adaptive sandbox fan-out controller.  ## Source `src/AgencyLayer/Orchestration/Ports/ISandboxFanOutPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement SchemaValidationRetryAdapter","## Summary validation failures to improve corrections across steps and  ## Source `src/AgencyLayer/Orchestration/Ports/ISchemaValidationRetryPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement SwarmMigrationAdapter","## Summary Port for swarm migration pattern.  ## Source `src/AgencyLayer/Orchestration/Ports/ISwarmMigrationPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement TreeSearchAdapter","## Summary branching reasoning paths, backtracking, and systematic search for  ## Source `src/AgencyLayer/Orchestration/Ports/ITreeSearchPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement WorkflowEvalsAdapter","## Summary responses, allowing deterministic testing of agent decision-making  ## Source `src/AgencyLayer/Orchestration/Ports/IWorkflowEvalsPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement DualUseToolAdapter","## Summary Port for dual-use tool design.  ## Source `src/AgencyLayer/Tools/Ports/IDualUseToolPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement DynamicToolGenerationAdapter","## Summary specifications, allowing the system to extend its capabilities  ## Source `src/AgencyLayer/Tools/Ports/IDynamicToolGenerationPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement MCPToolAdapter","## Summary enabling discovery, invocation, and management of tools  ## Source `src/AgencyLayer/Tools/Ports/IMCPToolPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
"[FEATURE] Implement MultiPlatformCommunicationAdapter","## Summary messages across multiple communication platforms (Slack, Teams,  ## Source `src/AgencyLayer/Tools/Ports/IMultiPlatformCommunicationPort.cs`  ## Acceptance Criteria - [ ] Adapter implements all interface methods - [ ] Unit tests with >80% coverage - [ ] XML documentation  Area: backend | Priority: P2 | Phase: active ","enhancement,triage,AgencyLayer"
